ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address,Latitude,Longtitude,Metro Proximity
5942422,https://bina.az/items/5942422,60.0,Mehdiabad q.,2.0,,,True,58000,AZN,28 May küç.,39.8719869,46.8725591,False
5926210,https://bina.az/items/5926210,600.0,Badamdar q.,6.0,,,True,550000,AZN,Badamdar qəs.,40.3411583,49.8064095,False
5952302,https://bina.az/items/5952302,70.0,Həzi Aslanov m.,2.0,11.0,13.0,True,185000,AZN,Gəncə prospekti,40.3561069,49.9616205,False
5876826,https://bina.az/items/5876826,71.3,Hövsan q.,3.0,,,True,96000,AZN,Hövsan qəs.,40.3734647,50.0958512,False
5917907,https://bina.az/items/5917907,93.3,Şah İsmayıl Xətai m.,2.0,9.0,10.0,,339900,AZN,Babək prospekti,40.3921172,49.915663,False
5916480,https://bina.az/items/5916480,102.0,Şah İsmayıl Xətai m.,3.0,20.0,24.0,True,285000,AZN,Fəzail Bayramov küçəsi,40.3791027,49.8682249,True
5180837,https://bina.az/items/5180837,500.0,Xəzər r.,8.0,,,True,700000,AZN,Mərdəkan qəs.,40.6345276,46.3314037,False
5787276,https://bina.az/items/5787276,300.0,Abşeron r.,9.0,,,True,370000,AZN,Binəqədi - Novxanı yolu.,40.4830366,49.8345467,False
5952301,https://bina.az/items/5952301,78.0,Qaraçuxur q.,3.0,13.0,13.0,,135000,AZN,Qaraçuxur qəsəbəsi,40.3968442,49.9815311,False
5952300,https://bina.az/items/5952300,45.0,Nəriman Nərimanov m.,2.0,6.0,9.0,True,110000,AZN,Faiq Yusifov Küç.,40.3703052,49.8244627,True
5867136,https://bina.az/items/5867136,154.0,8 Noyabr m.,3.0,11.0,17.0,,370000,AZN,Xan Şuşinski küç.,40.402266,49.834583,True
5648113,https://bina.az/items/5648113,50.0,Memar Əcəmi m.,2.0,1.0,5.0,True,132000,AZN,"Cavadxan küç., 29 a.",41.4546777,48.7991843,False
5791583,https://bina.az/items/5791583,95.3,Memar Əcəmi m.,2.0,4.0,16.0,True,285000,AZN,Asif Məhərrəmov küçəsi,40.4076538,49.8115315,True
5952299,https://bina.az/items/5952299,171.2,Badamdar q.,4.0,14.0,18.0,True,485000,AZN,Badamdar şossesi,40.3279474,49.8134125,False
5846858,https://bina.az/items/5846858,390.0,,,,,,155000,AZN,Novxanı qəs.,,,"(None, None)"
5906396,https://bina.az/items/5906396,138.0,Nərimanov r.,3.0,10.0,13.0,True,428000,AZN,Nəcəf Nərimanov küçəsi,40.4093497,49.838149,True
5952294,https://bina.az/items/5952294,90.0,Nəriman Nərimanov m.,3.0,6.0,9.0,True,260000,AZN,Təbriz küç.,40.7898631,48.1464055,False
5952296,https://bina.az/items/5952296,100.0,Elmlər Akademiyası m.,4.0,4.0,10.0,True,370000,AZN,N.Nərimanov pr,41.4586884,48.7961102,False
5838559,https://bina.az/items/5838559,100.0,Koroğlu m.,3.0,6.0,15.0,True,342000,AZN,Ziya Bunyadov küçəsi,39.8183501,46.7657909,False
5719893,https://bina.az/items/5719893,128.0,Həzi Aslanov m.,3.0,1.0,6.0,,232000,AZN,Sadıqcan küçəsi,40.3616839,49.9583586,True
5724476,https://bina.az/items/5724476,50.0,Nərimanov r.,2.0,9.0,17.0,True,249000,AZN,F.Yusifov küçəsi,40.3406274,49.8186171,False
5873612,https://bina.az/items/5873612,45.0,Yeni Günəşli q.,2.0,5.0,9.0,True,107000,AZN,Yeni Günəşli qəsəbəsi,40.3776393,49.9777073,False
5722746,https://bina.az/items/5722746,157.0,Gənclik m.,3.0,13.0,17.0,,490000,AZN,Koroğlu Rəhimov küçəsi,40.5994492,49.6506075,False
5946669,https://bina.az/items/5946669,42.0,Nəriman Nərimanov m.,,,,True,129000,AZN,Ziya Bünyadov pr.,40.4162701,49.8586167,True
5952293,https://bina.az/items/5952293,120.0,Abşeron r.,4.0,,,True,115000,AZN,Xırdalan şəhəri,40.6204452,49.549774,False
5868905,https://bina.az/items/5868905,180.0,Sahil m.,4.0,6.0,16.0,True,825000,AZN,H.Aslanov küç,40.3616534,49.9826679,False
5766686,https://bina.az/items/5766686,86.0,Elmlər Akademiyası m.,2.0,7.0,17.0,True,438000,AZN,Zahid Xəlilov küç.,41.1597122,47.1779808,False
5811855,https://bina.az/items/5811855,82.0,Həzi Aslanov m.,2.0,6.0,12.0,,164000,AZN,Cavanşir küçəsi,40.3653829,49.949087,True
5952292,https://bina.az/items/5952292,163.0,Nərimanov r.,3.0,6.0,18.0,True,395000,AZN,Xətai prospekti,40.3870547,49.8566739,True
5633754,https://bina.az/items/5633754,126.0,Nəriman Nərimanov m.,3.0,16.0,19.0,True,340000,AZN,Əliyar Əliyev küçəsi,40.4035044,49.8778512,True
5916331,https://bina.az/items/5916331,120.0,Xalqlar Dostluğu m.,5.0,4.0,9.0,True,300000,AZN,Babək pr.,40.3890058,49.8756543,True
5943607,https://bina.az/items/5943607,130.0,20 Yanvar m.,3.0,3.0,18.0,,260000,AZN,Həsən bəy Zərdabi prospekti,40.3802276,49.8087518,True
5886658,https://bina.az/items/5886658,120.0,Qara Qarayev m.,3.0,9.0,17.0,True,355000,AZN,Bəkir Çobanzadə küçəsi,40.4008207,49.938595,True
5947861,https://bina.az/items/5947861,117.0,Səbail r.,2.0,8.0,14.0,True,348000,AZN,"Neftçi Qurban küç., 42.",40.3464922,49.8374895,False
5797925,https://bina.az/items/5797925,30.0,Neftçilər m.,1.0,1.0,5.0,True,109500,AZN,Mehdi Abbasov küçəsi,40.4144426,49.9267212,True
5952291,https://bina.az/items/5952291,50.0,İnşaatçılar m.,2.0,1.0,5.0,True,130000,AZN,Abbas Mirzə Şərifzadə küçəsi,40.3763952,49.8048826,True
5913587,https://bina.az/items/5913587,110.0,İnşaatçılar m.,3.0,11.0,17.0,True,305000,AZN,Həsən bəy Zərdabi pr.,40.4244523,49.9289353,True
5861202,https://bina.az/items/5861202,118.0,Yeni Yasamal q.,3.0,14.0,21.0,True,209000,AZN,Arif Mehdiyev küçəsi,40.3977514,49.7946597,True
5952288,https://bina.az/items/5952288,70.0,Gənclik m.,3.0,6.0,9.0,True,258500,AZN,Atatürk prospekti,40.4124282,49.8469621,True
5952179,https://bina.az/items/5952179,110.0,Əhmədli m.,3.0,17.0,20.0,True,280000,AZN,Gəncə pr.,40.3582259,49.9616656,False
5895937,https://bina.az/items/5895937,70.0,Nərimanov r.,3.0,4.0,5.0,True,280000,AZN,Azadlıq prospekti,40.4259622,49.8429264,True
5890792,https://bina.az/items/5890792,85.0,Qaraçuxur q.,2.0,6.0,17.0,True,185000,AZN,Yusif Eyvazov küç.,40.4017632,49.9835274,False
5945579,https://bina.az/items/5945579,97.0,,3.0,9.0,16.0,True,141000,AZN,Heydər Əliyev pr.,,,"(None, None)"
5830531,https://bina.az/items/5830531,90.0,Nəsimi r.,3.0,5.0,5.0,True,249000,AZN,Səməd Vurğun küç.,40.609219,49.6277394,False
5902947,https://bina.az/items/5902947,38.0,,2.0,1.0,3.0,True,69900,AZN,Heydər Əliyev pr.,,,"(None, None)"
5120426,https://bina.az/items/5120426,56.0,Ağ şəhər q.,2.0,7.0,7.0,,262000,AZN,Yaşıl Ada küçəsi,40.3805142,49.8833606,True
