ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address
5952535,https://bina.az/items/5952535,85.0,,,,,,48000,AZN,Qəbələ rayonu
5399980,https://bina.az/items/5399980,69.0,Qara Qarayev m.,2.0,3.0,16.0,True,178000,AZN,Qara Qarayev prospekti
5641729,https://bina.az/items/5641729,125.0,8 Noyabr m.,3.0,7.0,12.0,True,370000,AZN,"Səməd Vurğun küç.,"
5882663,https://bina.az/items/5882663,55.0,Nərimanov r.,2.0,4.0,20.0,True,217000,AZN,Azadlıq pr.
5899418,https://bina.az/items/5899418,65.0,Xalqlar Dostluğu m.,2.0,6.0,9.0,True,160000,AZN,Bəhruz Nuriyev küçəsi
5742135,https://bina.az/items/5742135,65.0,8 Noyabr m.,2.0,22.0,27.0,True,244000,AZN,Tbilisi pr.
5858388,https://bina.az/items/5858388,65.0,Yasamal r.,2.0,21.0,27.0,True,235000,AZN,Tbilisi pr.
5922561,https://bina.az/items/5922561,175.0,Nəsimi r.,4.0,16.0,19.0,True,585000,AZN,Kövkəb Səfərəliyeva küçəsi.
5885420,https://bina.az/items/5885420,163.0,Şah İsmayıl Xətai m.,4.0,7.0,20.0,,588000,AZN,Fəzail bayramov küçəsi
5845330,https://bina.az/items/5845330,100.0,Elmlər Akademiyası m.,3.0,12.0,14.0,True,480000,AZN,İsmayıl bəy Qutqaşınlı küç
5930055,https://bina.az/items/5930055,137.0,28 May m.,3.0,17.0,21.0,True,668000,AZN,Zərifə Əliyeva küçəsi
5952524,https://bina.az/items/5952524,52.0,Əhmədli m.,2.0,5.0,9.0,True,180000,AZN,Sarayevo küçəsi
5952534,https://bina.az/items/5952534,49.0,20 Yanvar m.,2.0,4.0,16.0,,147000,AZN,Abbas Mirzə Şərifzadə küçəsi
5162752,https://bina.az/items/5162752,100.0,Şüvəlan q.,4.0,,,True,180000,AZN,Azal arena
5952528,https://bina.az/items/5952528,144.0,Novxanı q.,3.0,,,True,209000,AZN,Novxanı qəs.
5908095,https://bina.az/items/5908095,64.0,28 May m.,2.0,3.0,17.0,True,225000,AZN,Qarabağ küçəsi
5453756,https://bina.az/items/5453756,7.0,Mərdəkan q.,,,,,300000,AZN,Mərdəkan qəsəbəsi
5902321,https://bina.az/items/5902321,75.0,Nəriman Nərimanov m.,3.0,1.0,4.0,True,215000,AZN,Əhməd Rəcəbli küçəsi
5952531,https://bina.az/items/5952531,100.0,Nərimanov r.,4.0,6.0,9.0,True,285000,AZN,Atatürk pr.
5882360,https://bina.az/items/5882360,70.0,Nəriman Nərimanov m.,3.0,15.0,15.0,True,208000,AZN,Əşrəf Əliyev kücəsi
5952533,https://bina.az/items/5952533,95.0,20 Yanvar m.,3.0,4.0,16.0,True,270000,AZN,Həsən bəy Zərdabi prospekti
5915369,https://bina.az/items/5915369,300.0,Badamdar q.,6.0,,,,310000,AZN,1-ci bağlar döngəsi
5714137,https://bina.az/items/5714137,110.0,İnşaatçılar m.,4.0,3.0,9.0,True,247000,AZN,Akim Abbasov küç.
5922838,https://bina.az/items/5922838,110.0,Nizami m.,3.0,5.0,16.0,True,309000,AZN,Sübhi Salayev küç.
5549232,https://bina.az/items/5549232,10.0,Şağan q.,,,,,290000,AZN,Şağan qəs.
5565216,https://bina.az/items/5565216,120.0,,5.0,6.0,9.0,True,167000,AZN,H.Əliyev prospekti
5952530,https://bina.az/items/5952530,10.0,Mərdəkan q.,,,,,180000,AZN,Mərdəkan qəsəbəsi
5940887,https://bina.az/items/5940887,140.0,İnşaatçılar m.,3.0,5.0,12.0,True,287000,AZN,Dadaş Bünyadzadə küçəsi
5868454,https://bina.az/items/5868454,110.0,Badamdar q.,3.0,7.0,18.0,True,250000,AZN,Tofiq Məmmədov küçəsi
3522155,https://bina.az/items/3522155,20.0,Mərdəkan q.,,,,,600000,AZN,Mərdəkan qəsəbəsi
5939792,https://bina.az/items/5939792,1000.0,Türkan q.,,,,,1500000,AZN,Xanlar küçəsi
5371647,https://bina.az/items/5371647,158.0,8 Noyabr m.,4.0,18.0,21.0,True,365000,AZN,Azər Əliyev küçəsi.
4437005,https://bina.az/items/4437005,178.0,8 Noyabr m.,4.0,4.0,27.0,True,459000,AZN,Tblisi Prospektı
5289973,https://bina.az/items/5289973,8.0,Sulutəpə q.,,,,,124000,AZN,Çiçək qəsəbəsi
5148005,https://bina.az/items/5148005,85.0,Nərimanov r.,3.0,3.0,3.0,True,220000,AZN,Aşıq Molla Cümə küç.
5952522,https://bina.az/items/5952522,70.0,Köhnə Günəşli q.,2.0,3.0,9.0,True,120000,AZN,S.Mehmandarov küçəsi
5748569,https://bina.az/items/5748569,146.0,Nizami m.,3.0,14.0,17.0,True,394900,AZN,Mərdanov qardaşları küç
5505958,https://bina.az/items/5505958,155.0,Mərdəkan q.,4.0,,,True,185000,AZN,Mərdəkan qəsəbəsi
5136641,https://bina.az/items/5136641,290.0,Sea Breeze q.,5.0,,,,650000,AZN,Sea Breeze
